addr,code,created_at,latitude,longitude,name,remain_stat,stock_at,type
"서울특별시 강남구 언주로 601 파크랜드빌딩 지하1층 4,5호 (논현동)",11845821,2020/06/05 22:30:00,37.5088657,127.0377994,늘푸른약국,plenty,2020/06/05 09:33:00,01
서울특별시 강남구 봉은사로43길 8 1층 (논현동),12815659,2020/06/05 22:30:00,37.5098079,127.0399697,희병약국,empty,2020/06/05 09:58:00,01
서울특별시 강남구 언주로108길 15 (역삼동),11801051,2020/06/05 22:30:00,37.5085412,127.0405205,호원약국,break,2020/06/05 13:39:00,01
서울특별시 강남구 봉은사로 327 궁도빌딩 1층 (논현동),12818739,2020/06/05 22:30:00,37.5101956,127.0426534,선정릉약국,break,2020/06/04 11:35:00,01
서울특별시 강남구 봉은사로54길 9 1층 (역삼동),12821977,2020/06/05 22:30:00,37.5093737,127.0437708,선능약국,break,2020/06/05 08:48:00,01
서울특별시 강남구 선릉로 567 1층 일부호 (역삼동),12846058,2020/06/05 22:30:00,37.5090876,127.0440696,싱싱약국,break,2020/06/05 08:57:00,01
서울특별시 강남구 테헤란로 124 B-101호 (역삼동),12819883,2020/06/05 22:30:00,37.4987952,127.0317205,삼주약국,plenty,2020/06/04 10:03:00,01
서울특별시 강남구 테헤란로 125 지하1층 (역삼동),12867675,2020/06/05 22:30:00,37.4996098,127.0316927,라라약국,break,2020/06/04 11:54:00,01
서울특별시 강남구 테헤란로20길 11 1층 (역삼동),12801135,2020/06/05 22:30:00,37.4990028,127.0345782,올리브온누리약국,empty,2020/06/05 09:06:00,01
서울특별시 강남구 테헤란로 139 (역삼동),12814598,2020/06/05 22:30:00,37.5004008,127.0343432,강남제일약국,break,2020/06/05 08:55:00,01
서울특별시 강남구 논현로 327 (역삼동),12837814,2020/06/05 22:30:00,37.4944701,127.0396202,아름다운우리약국,plenty,2020/06/05 08:51:00,01
서울특별시 강남구 논현로 330 1층 (역삼동),12836559,2020/06/05 22:30:00,37.4947912,127.040068,동의온누리약국,plenty,2020/06/05 12:58:00,01
"서울특별시 강남구 도곡로 205 1층 (역삼동, 원경빌딩)",12836877,2020/06/05 22:30:00,37.4929277,127.0413818,다솜약국,few,2020/06/05 07:56:00,01
서울특별시 강남구 도곡로 213 지하1층 (역삼동),11889314,2020/06/05 22:30:00,37.4930827,127.0421212,서울세연약국,plenty,2020/06/05 10:38:00,01
"서울특별시 강남구 언주로 309 지하1층 (역삼동, 기성빌딩)",12844322,2020/06/05 22:30:00,37.4951022,127.0457489,곰돌이약국,empty,2020/06/05 09:12:00,01
서울특별시 강남구 논현로 409 1층 일부호 (역삼동),12806811,2020/06/05 22:30:00,37.4965317,127.0386103,신혜성약국,plenty,2020/06/05 09:38:00,01
서울특별시 강남구 논현로 340 1층 (역삼동),12831051,2020/06/05 22:30:00,37.495772,127.0396503,역삼이화약국,plenty,2020/06/05 09:00:00,01
서울특별시 강남구 역삼로17길 64 1층 3호 (역삼동),12861103,2020/06/05 22:30:00,37.4988038,127.0366283,역삼생생약국,empty,2020/06/05 08:47:00,01
"서울특별시 강남구 논현로85길 7 5층 (역삼동, 은혜빌딩)",12827215,2020/06/05 22:30:00,37.4989891,127.0368362,좋은아침약국,break,2020/06/05 08:18:00,01
서울특별시 강남구 테헤란로26길 10 성보빌딩 2층 (역삼동),12863114,2020/06/05 22:30:00,37.4996461,127.0358567,역삼오늘약국,plenty,2020/06/04 12:14:00,01
